,Name,Fixed,Free param,$\mathcal{L}$,AIC,$\Delta$ AIC,Proba
0,Howell+drift,False,4,1100.4,1108.4,0.0,1.943757924431898
1,Base,False,5,1099.7,1109.7,-1.3,1.0
2,Asymmetric,True,3,1101.3,1107.3,1.1,3.3609988739098964
3,Howell:const,True,5,1101.2,1111.2,-2.8,0.4789858559262519
4,Base:const,True,6,1101.2,1113.2,-4.8,0.1762037301914807
5,BBC-modeling,True,3x5,1083.6,1113.6,-5.2,5.7e-06
6,Gaussian,True,2,1142.6,1146.6,-38.2,9.945318049616748e-09
