,Assym,Free param,$\sigma^-$,$\sigma^-_{\mathrm{err}}$,$\sigma^+$,$\sigma^+_{\mathrm{err}}$,$\mu^0$,$\mu^0_{\mathrm{err}}$,$\mathcal{L}$,AIC
0,SNf,3,1.34,0.13,-0.41,0.1,0.68,0.15,299.3,305.3
1,SDSS,3,1.7,0.28,0.0,0.17,1.03,0.08,56.6,62.6
2,PS1,3,1.1,0.18,-0.55,0.17,0.32,0.25,178.7,184.7
3,SNLS,3,1.49,0.31,0.0,0.13,1.27,0.12,30.7,36.7
4,HST,3,0.76,0.36,0.79,0.35,0.11,0.44,73.7,79.7
5,Total,15,--,--,--,--,--,--,639.0,669.0
