CID CIDint IDSURVEY TYPE FIELD CUTFLAG_SNANA zCMB zCMBERR zHD zHDERR VPEC VPEC_ERR HOST_LOGMASS HOST_LOGMASS_ERR SNRMAX1 SNRMAX2 SNRMAX3 PKMJD PKMJDERR x1 x1ERR c cERR mB mBERR x0 x0ERR COV_x1_c COV_x1_x0 COV_c_x0 NDOF FITCHI2 FITPROB RA DECL TGAPMAX TrestMIN TrestMAX MWEBV MU MUMODEL MUERR MUERR_RAW MURES MUPULL ERRCODE biasCor_mu biasCorErr_mu biasCor_mB biasCor_x1 biasCor_c biasScale_muCOV IDSAMPLE
6558 6558 1 118 82S 1 0.05631 1E-05 0.05715 1E-05 251.8741 0 9.769 0.062 180.9549 83.5158 35.0184 53675.027 0.092 1.0587 0.0915533 -0.019759 0.023099 17.4728 0.0329781 0.00184029 5.58968E-05 -4.75656E-06 -6.43619E-07 -9.23083E-07 25 52.4766 0.00104288 21.701672 -1.238135 11.3451 -10.1075 28.6083 0.033282 37.0232 37.0359 0.107 0.0757 0.058 0.546 0 -0.008 0.008 0 0.015 0.003 0.649 2
6924 6924 1 120 82S 1 0.3264 0.005 0.32601 0.005 -117.81 0 5 10 14.0281 12.1352 8.1399 53674.641 0.699 1.0089 0.8023 -0.0689542 0.0433498 21.3865 0.0491315 5.00477E-05 2.26475E-06 0.00931237 -1.1427E-06 -4.40534E-08 47 35.3251 0.8945 358.96933 0.876966 9.0332 -14.5984 23.0228 0.027262 41.0257 41.1644 0.1399 0.1884 -0.173 -1.24 0 0.077 0.005 0.003 0.2 -0.012 0.413 2
7147 7147 1 120 82N 1 0.10886 2E-05 0.10902 2E-05 49.4099 0 10.562 0.064 67.8528 49.3418 30.1418 53679.668 0.133 -1.94443 0.1577 -0.0881059 0.0233109 19.2222 0.0344153 0.0003674 1.16457E-05 0.000265024 -1.04825E-07 -1.87109E-07 36 41.4032 0.2466 350.018463 -0.055446 11.7094 -14.7986 22.0854 0.037152 38.5203 38.5158 0.0971 0.0724 -0.045 -0.464 0 0.081 0.007 -0.022 -0.022 -0.029 0.549 2
7243 7243 1 120 82S 1 0.20323 1E-05 0.20299 1E-05 -70.8172 0 9.225 0.111 23.5728 13.1889 10.0106 53686.262 0.337 0.7117 0.3883 -0.0184562 0.0408926 20.5576 0.0646969 0.000107385 6.39887E-06 0.00301665 -8.68482E-07 -1.66665E-07 24 8.246 0.9993 328.079071 0.47193 10.7561 -14.2064 15.6592 0.086344 40.064 39.9923 0.1367 0.133 0.066 0.481 0 -0.023 0.002 0.002 0.01 0.007 0.631 2
7779 7779 1 120 82N+82S 1 0.37986 0.0005 0.37949 0.0005 -111.136 0 11.174 0.153 10.2582 9.6048 7.5333 53675.918 0.758 0.3694 0.8979 -0.149235 0.0488507 21.6851 0.0567605 3.8017E-05 1.98747E-06 0.0134601 -9.05232E-07 -2.54337E-08 52 41.0296 0.8634 310.0802 -0.007178 8.6909 -14.3416 20.3825 0.056588 41.4549 41.5498 0.1297 0.2076 -0.097 -0.746 0 0.196 0.011 -0.034 -0.287 -0.075 0.306 2
7847 7847 1 120 82N 1 0.2116 8E-05 0.21198 8E-05 116.0501 0 10.696 0.124 18.6819 17.1959 12.2791 53682.02 0.188 0.1312 0.3163 0.123 0.0355284 20.9433 0.0418614 7.52819E-05 2.90255E-06 0.00192034 -3.75649E-07 -7.28717E-08 36 32.7438 0.6689 32.459949 -0.061799 4.9381 -12.8591 18.3803 0.02279 40.041 40.0977 0.1277 0.1154 -0.063 -0.491 0 -0.173 0.009 0.025 -0.006 0.053 0.646 2
8495 8495 1 120 82S 1 0.21353 2E-05 0.21327 2E-05 -76.8033 0 11.034 0.063 21.2528 15.4739 12.1587 53689.918 0.341 0.7359 0.4578 -0.0215702 0.041501 20.5739 0.0624356 0.000105791 6.08356E-06 0.00643829 -1.60893E-06 -1.75006E-07 23 40.7148 0.0178976 335.261047 -0.748159 8.1952 -12.976 12.5323 0.061318 40.1476 40.1125 0.1344 0.1311 0.029 0.216 0 -0.021 0.002 0.002 0.017 0.007 0.621 2
8921 8921 1 120 82N+82S 1 0.14409 1E-05 0.14393 1E-05 -49.3078 0 10.216 0.058 30.1424 29.3313 18.3762 53692.996 0.205 0.7371 0.2681 0.00309779 0.032088 19.709 0.0492327 0.000234635 1.06395E-05 0.00360533 -1.44976E-06 -2.62938E-07 23 24.4643 0.4353 325.001984 -0.007925 7.8508 -13.8395 9.7061 0.049278 39.1984 39.168 0.1118 0.086 -0.047 -0.425 0 -0.027 0.002 0.005 0.005 0.009 0.647 2
9032 9032 1 120 82N 1 0.25249 0.0005 0.25218 0.0005 -91.5921 0 9.252 0.149 14.4128 11.6092 10.7946 53688.945 0.513 0.8337 0.62 0.0165098 0.0513639 21.0976 0.0715288 6.53092E-05 4.30261E-06 0.00938796 -1.66764E-06 -1.3224E-07 23 11.3874 0.986 337.884583 -0.493577 5.5292 -14.949 12.1268 0.05332 40.534 40.5236 0.1605 0.1798 0.014 0.084 0 -0.063 0.003 0.012 0.115 0.025 0.582 2
9457 9457 1 120 82N 1 0.25672 4E-05 0.25641 4E-05 -92.6522 0 11.129 0.134 11.5937 8.466 7.9631 53688.848 0.541 -0.341057 0.6016 -0.0179951 0.0616335 21.1958 0.0822976 5.96604E-05 4.52219E-06 0.0113668 -1.58991E-06 -1.66892E-07 25 8.773 0.9989 335.814362 0.253036 5.5106 -14.8274 12.1575 0.070176 40.6358 40.5647 0.1743 0.2028 0.074 0.426 0 -0.069 0.004 -0.007 -0.172 0.01 0.573 2
9467 9467 1 120 82N 1 0.21885 3E-05 0.2186 3E-05 -76.7155 0 10.93 0.072 16.1525 9.8885 7.8667 53688.812 0.351 -1.38648 0.3818 -0.140629 0.0565557 20.824 0.0663537 8.40223E-05 5.13494E-06 0.00569164 -1.06407E-06 -1.58199E-07 22 13.7791 0.933 328.951385 1.180792 7.3722 -12.8429 12.5484 0.04902 40.3019 40.1727 0.162 0.1854 0.12 0.739 0 0.182 0.006 -0.042 -0.205 -0.069 0.567 2
12779 12779 1 120 82N 1 0.07891 3E-05 0.07883 3E-05 -22.4445 0 10.776 0.083 67.851 51.696 36.1777 53971.93 0.957 -0.618928 0.2634 0.1076 0.0320879 18.9391 0.0674621 0.000476816 2.96269E-05 -0.00335192 3.11565E-06 -7.77697E-07 28 22.1323 0.8147 309.471863 1.221122 13.8787 2.0726 36.3516 0.082646 37.8932 37.7674 0.1251 0.0971 0.052 0.415 0 -0.09 0.01 0.021 -0.003 0.03 0.733 2
12781 12781 1 120 82N 1 0.08282 0.00018 0.08328 0.00018 137.5602 0 10.942 0.078 67.8524 51.6903 37.4223 53979.27 0.219 -1.81174 0.1853 0.0438622 0.02696 19.1358 0.0398724 0.000397817 1.46093E-05 0.00075131 -1.44468E-06 -2.74561E-07 39 42.7636 0.3127 5.406564 -1.009973 13.8402 -4.56175 42.5006 0.024596 38.0974 37.8933 0.1164 0.0878 0.13 1.118 0 -0.049 0.01 0.013 -0.009 0.016 0.69 2
12856 12856 1 120 82N 1 0.17028 1E-05 0.17008 1E-05 -60.9125 0 10.352 0.045 43.4178 36.1744 21.2575 53996.91 0.24 0.8613 0.2048 -0.080945 0.0236193 19.89 0.0355061 0.000198612 6.49508E-06 0.000207523 -2.61496E-07 -1.0509E-07 51 40.4199 0.8561 332.865479 0.755978 7.678 -6.54779 43.7442 0.042828 39.6021 39.5657 0.1028 0.0779 0.084 0.821 0 0.079 0.002 -0.016 0.029 -0.025 0.588 2
12881 12881 1 120 82N 1 0.2367 3E-05 0.23643 3E-05 -80.1615 0 9.679 0.113 25.8168 19.7004 12.7132 53980.316 0.589 0.8684 0.5423 0.0288976 0.0385447 20.8402 0.0487359 8.27826E-05 3.7159E-06 0.00439204 -1.30916E-06 -8.94517E-08 32 33.2282 0.4072 10.162345 -0.073567 9.6575 -4.82717 41.1571 0.02021 40.2423 40.3647 0.1427 0.1472 -0.116 -0.815 0 -0.069 0.003 0.015 0.12 0.028 0.606 2
12883 12883 1 120 82N 1 0.30569 0.005 0.30538 0.005 -92.596 0 11.099 0.105 11.2252 7.8924 5.9928 53980.188 0.101 -2.0374 0.7815 -0.060723 0.0687467 21.3499 0.099228 5.17662E-05 4.73103E-06 0.0136457 -2.55807E-06 -1.45363E-07 48 31.6015 0.9674 312.625885 0.398666 11.4677 -4.59963 42.7894 0.08084 40.7346 41 0.1917 0.2638 -0.264 -1.375 0 -0.121 0.013 -0.049 -0.753 -0.012 0.451 2
12898 12898 1 120 82N 1 0.08254 1E-05 0.08286 1E-05 94.2844 0 9.953 0.045 77.5458 72.377 41.7466 54002.492 0.082 -0.0521545 0.0860644 0.0713674 0.0212108 18.7704 0.031294 0.000556983 1.60538E-05 1.14636E-05 -2.2611E-07 -2.63273E-07 50 73.7061 0.0162264 26.793083 -0.146964 9.2323 -12.0946 42.2896 0.028122 37.8729 37.8817 0.1076 0.0645 -0.083 -0.769 0 -0.07 0.007 0.013 -0.008 0.022 0.72 2
12927 12927 1 120 82N 1 0.18891 2E-05 0.18905 2E-05 42.97 0 10.401 0.06 31.9101 29.3207 18.6804 53988.848 0.644 0.0929514 0.2944 -0.0290871 0.0334357 20.0726 0.0489978 0.000167869 7.57568E-06 0.000522646 -1.41396E-07 -1.96982E-07 47 35.6572 0.8868 41.78614 0.775128 7.5579 0.4892 44.1128 0.031734 39.5631 39.82 0.1178 0.1012 -0.275 -2.333 0 -0.011 0.002 -0.003 -0.042 0 0.627 2
12950 12950 1 120 82N+82S 1 0.08141 1E-05 0.08162 1E-05 62.0988 0 9.787 0.04 72.3787 63.8606 41.7487 54000 0.093 -0.388809 0.0832026 0.0298092 0.0218896 18.6918 0.034884 0.000598793 1.92388E-05 6.05797E-05 -2.58149E-07 -3.18361E-07 45 66.2293 0.0269101 351.66745 -0.840276 8.3087 -9.88888 44.5343 0.037754 37.8705 37.8471 0.1048 0.0654 -0.051 -0.482 0 -0.045 0.005 0.008 -0.004 0.014 0.678 2
12972 12972 1 120 82S 1 0.25655 0.005 0.25626 0.005 -88.2024 0 9.177 0.114 20.8381 13.186 8.9641 53980.965 0.687 0.1777 0.6946 -0.0779651 0.0490203 21.0441 0.0648038 6.86047E-05 4.09477E-06 0.0145934 -2.17766E-06 -1.28329E-07 38 14.2669 0.9998 7.958593 -0.382957 11.9361 -4.4838 44.7511 0.017544 40.6036 40.5633 0.1543 0.1736 0.044 0.282 0 0.06 0.003 -0.016 -0.12 -0.026 0.566 2
13005 13005 1 120 82S 1 0.12622 2E-05 0.12631 2E-05 27.5837 0 10.093 0.076 36.1738 30.1432 19.7023 53964.637 1.358 -0.315259 0.3204 -0.00931821 0.0454371 19.6367 0.1242 0.000250798 2.86964E-05 0.0033076 -3.97336E-06 -1.05124E-06 28 13.4028 0.994 27.395458 -0.649882 13.3167 9.5293 42.3099 0.02881 38.9454 38.86 0.1288 0.1196 0.063 0.485 0 -0.02 0.003 0.003 -0.018 0.005 0.633 2
13038 13038 1 120 82S 1 0.10264 0.005 0.1028 0.005 47.4759 0 5 10 72.3736 67.8521 32.8801 53988.652 0.141 1.4356 0.1458 -0.0151665 0.0233312 18.9597 0.0374208 0.00046788 1.61259E-05 0.000688363 -9.93019E-07 -2.90001E-07 49 38.5927 0.8572 347.826782 0.504606 16.368 -12.1221 43.9772 0.033196 38.5347 38.3792 0.135 0.1301 0.075 0.555 0 0.01 0.006 -0.005 0.201 0.005 0.631 2
13044 13044 1 120 82S 1 0.12455 2E-05 0.1244 2E-05 -44.5656 0 9.913 0.062 60.312 47.1949 30.1385 54003.18 0.093 -0.0156438 0.1295 -0.0634082 0.0222284 19.3372 0.0357265 0.000330456 1.08738E-05 0.000452003 -3.44669E-07 -1.81391E-07 55 66.6351 0.1352 332.542755 0.503265 8.875 -8.77783 44.3957 0.040506 38.8355 38.8242 0.0961 0.0643 -0.012 -0.121 0 0.037 0.003 -0.011 -0.015 -0.014 0.576 2
13136 13136 1 120 82S 1 0.37046 5E-05 0.37003 5E-05 -128.975 0 11.433 0.093 8.3099 6.7856 5.0365 53993.973 1.118 0.8073 0.9152 -0.105242 0.0626193 22.0495 0.0743516 2.71763E-05 1.86104E-06 0.0151936 -9.7286E-07 -4.13653E-08 67 50.8204 0.9407 6.140682 -0.279061 10.9439 -13.5944 43.209 0.02064 41.7933 41.4855 0.1548 0.2495 0.306 1.977 0 0.129 0.009 -0.012 0.032 -0.037 0.323 2
13152 13152 1 120 82S 1 0.20215 1E-05 0.20192 1E-05 -69.9242 0 9.387 0.096 31.908 27.8134 19.3489 54001.219 0.201 0.2819 0.2525 0.0174281 0.0294112 20.399 0.034904 0.000124282 3.9954E-06 0.000920116 -3.73269E-07 -9.05661E-08 47 49.4299 0.3764 7.052111 0.11801 6.6535 -9.04228 43.2413 0.017716 39.7462 39.9795 0.1157 0.0943 -0.239 -2.068 0 -0.063 0.003 0.006 -0.028 0.018 0.643 2
13254 13254 1 120 82S 1 0.1799 1E-05 0.18004 1E-05 43.9593 0 10.005 0.062 18.0555 16.9238 11.3675 53994.203 1.044 0.5361 0.5183 0.0977954 0.0387251 20.8985 0.0548445 7.84539E-05 3.96299E-06 -0.00159295 3.26055E-07 -1.10926E-07 56 55.113 0.5084 42.058674 -0.347028 7.6355 0.2018 39.9774 0.037582 40.0345 39.7023 0.1465 0.139 0.309 2.109 0 -0.109 0.005 0.023 0.028 0.037 0.688 2
13411 13411 1 120 82S 1 0.1618 0.0005 0.16163 0.0005 -50.7534 0 8.922 0.13 29.3183 25.8234 17.1929 53987.48 0.305 1.8281 0.3803 0.0259711 0.0349441 20.0989 0.0650938 0.000163846 9.82313E-06 0.00381377 -2.20934E-06 -2.4811E-07 47 33.4593 0.9317 315.189941 0.191662 18.0635 -10.5768 42.6732 0.069832 39.5177 39.4438 0.1278 0.1128 0.122 0.954 0 0.076 0.014 0.034 0.702 0.018 0.663 2
13578 13578 1 120 82N 1 0.22669 0.005 0.22644 0.005 -72.1615 0 9.121 0.11 24.0937 16.6645 12.4181 53998.766 0.402 -0.184098 0.3823 -0.0372785 0.0364854 20.8072 0.0420251 8.53329E-05 3.30294E-06 0.00136767 -4.9591E-07 -7.73692E-08 41 30.9482 0.8956 17.394697 0.704158 8.1465 -7.65663 43.589 0.02494 40.2335 40.2588 0.138 0.1401 -0.035 -0.253 0 -0.013 0.003 -0.007 -0.1 -0.002 0.604 2
13610 13610 1 120 82N 1 0.29683 1E-05 0.29649 1E-05 -101.926 0 10.471 0.094 16.9133 13.3519 8.0093 53997.012 0.199 0.1627 0.5466 -0.0921366 0.0422453 21.1405 0.0517812 6.27755E-05 2.9939E-06 0.00175837 -7.69946E-07 -6.15133E-08 65 33.8872 0.9996 326.014771 0.726284 6.1408 -6.00241 44.7759 0.056932 40.7896 40.926 0.14 0.17 -0.135 -0.961 0 0.074 0.004 -0.022 -0.199 -0.034 0.481 2
13689 13689 1 120 82N 1 0.25029 1E-05 0.24999 1E-05 -88.2938 0 10.45 0.07 25.8258 18.6884 11.7448 54000.164 0.5 1.1841 0.3916 -0.146192 0.03718 20.7047 0.0428225 9.37842E-05 3.69894E-06 0.00187512 -6.13264E-07 -8.66334E-08 42 27.0164 0.9647 4.016125 0.807558 7.1836 -8.65963 44.0065 0.022188 40.5301 40.5021 0.128 0.1316 0.031 0.244 0 0.257 0.005 -0.024 0.186 -0.068 0.56 2
13736 13736 1 120 82S 1 0.14882 2E-05 0.14864 2E-05 -54.0838 0 9.678 0.08 43.4166 37.4233 21.6847 54015.793 0.132 1.1256 0.1683 -0.0178106 0.0241944 19.738 0.0429711 0.000228454 9.04172E-06 0.000426521 -3.49177E-07 -1.56757E-07 68 89.9408 0.0386919 336.833282 1.030971 8.6805 -9.16955 40.3256 0.058652 39.2865 39.2443 0.1045 0.0726 0.037 0.35 0 -0.003 0.002 0.003 0.075 0.005 0.635 2
13796 13796 1 120 82S 1 0.14729 2E-05 0.14711 2E-05 -54.1594 0 10.325 0.055 54.2791 47.1945 26.4573 54010.461 0.119 0.8015 0.1192 -0.0155237 0.0222273 19.5894 0.0329909 0.000261964 7.95997E-06 0.000175237 -1.54404E-07 -1.29321E-07 65 41.8894 0.9885 350.691559 0.532883 7.8554 -12.3407 42.4393 0.036292 39.1418 39.2198 0.102 0.0666 -0.084 -0.819 0 -0.012 0.002 0.002 0.023 0.005 0.636 2
14019 14019 1 120 82S 1 0.21513 0.0005 0.2149 0.0005 -68.1738 0 9.931 0.093 11.732 10.4872 7.4446 54012.195 0.418 -0.307564 0.4142 -0.0160198 0.0481083 21.2018 0.0668551 5.9329E-05 3.65323E-06 0.00454739 -6.48025E-07 -1.1571E-07 59 43.6997 0.9319 316.642426 -0.647952 6.58 -13.1568 41.0407 0.076196 40.5615 40.131 0.1478 0.1525 0.421 2.847 0 -0.045 0.003 -0.002 -0.091 0.008 0.621 2
14024 14024 1 120 82S 1 0.14478 0.005 0.14462 0.005 -46.9478 0 8.934 0.198 23.0717 19.7108 14.6349 54011.168 0.212 -1.92288 0.2006 0.0460743 0.0350646 20.2546 0.0666858 0.000141954 8.71878E-06 0.000858831 -2.33921E-07 -2.22949E-07 77 38.4643 0.9999 318.198578 0.916348 6.9842 -13.0651 44.4617 0.099072 39.164 39.1793 0.1372 0.1258 -0.093 -0.679 0 -0.076 0.008 0.012 -0.055 0.022 0.679 2
14108 14108 1 120 82S 1 0.13243 0.005 0.13226 0.005 -49.5135 0 8.953 0.233 37.4216 35.0021 21.679 54010.199 0.181 0.2419 0.1488 0.0120993 0.0296788 19.9572 0.0753043 0.000186689 1.29484E-05 0.000187237 -6.06044E-08 -3.01046E-07 77 79.5686 0.3981 53.594646 -1.12321 7.9573 -13.8805 43.4135 0.1256 39.29 38.9683 0.1273 0.1142 0.299 2.347 0 -0.036 0.003 0.007 -0.01 0.011 0.649 2
14331 14331 1 120 82N 1 0.21975 1E-05 0.2195 1E-05 -75.585 0 9.696 0.095 18.6841 14.424 10.3801 54013.555 0.255 0.1759 0.3035 0.00397516 0.0387655 20.9829 0.0431525 7.2583E-05 2.8848E-06 0.00122259 -4.13284E-07 -7.02209E-08 52 46.4291 0.6918 7.888675 -0.135814 8.1921 -13.2015 40.6952 0.019006 40.361 40.1827 0.1353 0.1325 0.169 1.247 0 -0.061 0.003 0.003 -0.052 0.015 0.621 2
14397 14397 1 120 82N 1 0.38492 3E-05 0.38447 3E-05 -133.652 0 10.548 0.116 7.7472 7.6934 3.8582 54014.195 0.777 -1.15122 0.6097 -0.234544 0.0536195 21.9542 0.0752961 2.96699E-05 2.05762E-06 0.00755265 -6.44038E-07 1.24135E-09 70 49.3453 0.9711 6.916098 0.649507 7.2151 -12.0918 35.3795 0.019436 41.7218 41.5831 0.1384 0.231 0.137 0.989 0 0.276 0.037 -0.096 -1.264 -0.154 0.294 2
14421 14421 1 120 82N 1 0.174 3E-05 0.1742 3E-05 61.3358 0 11.561 0.084 38.7612 23.5822 12.1608 54010.895 0.213 -0.679465 0.187 -0.0877682 0.0266107 20.1945 0.032412 0.000150032 4.47885E-06 0.000482306 -2.16428E-07 -7.35759E-08 67 86.9452 0.0512318 31.829882 1.252084 8.5137 -13.1511 44.6161 0.024338 39.6936 39.6231 0.1073 0.0881 0.047 0.442 0 0.076 0.003 -0.022 -0.07 -0.03 0.585 2
14451 14451 1 120 82S 1 0.17789 0.005 0.17772 0.005 -51.2192 0 10.124 0.071 35.0095 24.1071 17.7714 54011.801 0.177 0.3106 0.1699 -0.0964447 0.0275342 19.9336 0.0529208 0.000190787 9.29932E-06 0.000617542 -3.08863E-07 -1.76143E-07 74 83.9201 0.2016 308.194946 0.927069 8.4718 -14.9657 42.6573 0.083076 39.5487 39.6711 0.115 0.1042 -0.145 -1.265 0 0.094 0.002 -0.023 -0.04 -0.033 0.581 2
14735 14735 1 120 82N 1 0.29936 2E-05 0.29911 2E-05 -73.9887 0 10.326 0.109 15.2172 13.0095 9.1241 54013.805 0.48 0.0132331 0.4353 0.0336808 0.0438119 21.4518 0.0502938 4.71282E-05 2.18309E-06 0.00222076 -4.97854E-07 -4.70468E-08 66 60.07 0.6822 35.158035 0.348378 7.6927 -14.1148 39.6259 0.031476 40.8867 40.948 0.133 0.1632 -0.06 -0.447 0 -0.199 0.007 -0.005 -0.186 0.045 0.459 2
14871 14871 1 120 82S 1 0.11845 0.005 0.1187 0.005 74.7331 0 9.147 0.07 54.2801 51.6888 31.9142 54027.352 0.127 1.2909 0.1145 -0.0353461 0.0235551 19.216 0.0496866 0.000369502 1.69095E-05 9.59883E-05 -1.83681E-07 -2.97907E-07 67 58.4191 0.7634 54.2771 0.00936 7.1841 -13.356 36.6608 0.07482 38.8156 38.7143 0.1243 0.1165 0.108 0.873 0 0.037 0.003 -0.002 0.165 -0.003 0.606 2
14979 14979 1 120 82S 1 0.17653 0.0005 0.17685 0.0005 94.7803 0 10.089 0.066 40.1954 27.121 16.6668 54025.625 0.148 0.2317 0.143 -0.108318 0.026168 19.9534 0.0498458 0.000187342 8.6008E-06 0.000252039 -2.13483E-07 -1.55111E-07 82 62.8218 0.943 54.946434 0.992816 6.8295 -14.6148 36.3214 0.077142 39.5818 39.6593 0.1014 0.0776 -0.101 -0.991 0 0.112 0.003 -0.027 -0.047 -0.04 0.574 2
15057 15057 1 106 82N 1 0.24552 2E-05 0.24526 2E-05 -77.7567 0 9.467 0.096 10.8767 8.5196 6.8517 54016.695 0.409 -2.34968 0.5833 -0.00713059 0.0597569 21.6429 0.0749177 3.95233E-05 2.72718E-06 0.00686222 -9.73838E-07 -8.0458E-08 49 37.7172 0.8795 17.881262 0.409492 8.0234 -13.1175 37.3631 0.02236 40.7347 40.4549 0.187 0.2166 0.286 1.529 0 -0.129 0.011 -0.013 -0.362 0.016 0.594 2
15129 15129 1 120 82S 1 0.19611 5E-05 0.1959 5E-05 -63.6396 0 10.971 0.066 28.5465 20.074 14.6274 54023.855 0.254 -0.686994 0.2336 -0.0657402 0.0309751 20.439 0.0430181 0.000119785 4.74601E-06 0.000470097 -3.04943E-07 -9.35493E-08 71 73.3344 0.4014 318.902405 -0.321433 6.6877 -13.1111 36.9618 0.050826 39.9028 39.9061 0.1162 0.1026 -0.021 -0.184 0 0.029 0.003 -0.013 -0.09 -0.015 0.601 2
15161 15161 1 120 82N 1 0.24852 4E-05 0.24832 4E-05 -60.5626 0 11.065 0.068 16.9309 15.9283 11.3741 54025.371 0.376 -0.23106 0.323 -0.0496128 0.0420884 20.9451 0.0472242 7.51525E-05 3.26877E-06 0.00352819 -5.40302E-07 -9.00805E-08 41 44.1471 0.3401 35.842915 0.819003 8.006 -14.352 31.9864 0.029928 40.4512 40.4855 0.1321 0.1338 -0.031 -0.236 0 -0.001 0.003 -0.01 -0.138 -0.008 0.586 2
15213 15213 1 120 82N 1 0.30632 0.005 0.30617 0.005 -46.3566 0 10.721 0.089 9.4423 9.125 6.9439 54026.395 0.712 -0.021469 0.6366 -0.0771152 0.059913 21.5098 0.0789108 4.46784E-05 3.2472E-06 0.0134599 -1.2893E-06 -1.02552E-07 63 38.0424 0.9946 53.019138 -0.100142 5.3946 -14.4684 29.8333 0.087204 41.1245 41.0065 0.1571 0.2069 0.12 0.762 0 0.024 0.004 -0.024 -0.274 -0.025 0.451 2
15219 15219 1 120 82N 1 0.24637 2E-05 0.24616 2E-05 -61.3806 0 11.081 0.078 26.4482 17.1945 12.0059 54030.961 0.344 -0.127686 0.3891 -0.15095 0.0359469 20.7974 0.0393049 8.61067E-05 3.11716E-06 0.0018703 -4.2517E-07 -6.88418E-08 34 27.236 0.788 34.611145 0.226688 5.6335 -7.64076 27.5569 0.03139 40.4772 40.464 0.1255 0.1273 0.019 0.154 0 0.215 0.005 -0.039 -0.164 -0.076 0.56 2
15234 15234 1 120 82N 1 0.13514 2E-05 0.13527 2E-05 40.0752 0 10.524 0.061 38.7582 33.9116 16.4142 54032.781 0.203 0.8907 0.2084 0.1299 0.0275155 20.2016 0.0350142 0.000149064 4.80719E-06 0.000807559 -2.62158E-07 -1.0385E-07 45 49.6298 0.2939 16.958336 0.828198 6.1807 -10.0341 26.8367 0.023822 39.3186 39.0213 0.1163 0.0833 0.219 1.887 0 -0.099 0.008 0.029 0.068 0.037 0.718 2
15259 15259 1 120 82S 1 0.21054 0.005 0.21028 0.005 -76.3585 0 9.789 0.256 26.4516 23.0645 14.8232 54026.312 0.283 0.4909 0.2777 -0.00799472 0.0340461 20.5532 0.0467416 0.00010783 4.64216E-06 0.000461917 -3.4926E-07 -1.07294E-07 50 56.3836 0.2485 337.544189 -0.407819 8.2379 -14.9385 34.5342 0.057792 40.0023 40.0781 0.132 0.126 -0.082 -0.62 0 -0.039 0.002 0.003 -0.011 0.011 0.627 2
15287 15287 1 120 82N+82S 1 0.2363 8E-05 0.23603 8E-05 -79.7474 0 10.621 0.152 24.0921 18.6765 13.1798 54029.789 0.331 1.1155 0.3048 -0.0421201 0.0336572 20.8708 0.039502 8.04763E-05 2.92795E-06 0.000731067 -2.60478E-07 -6.57701E-08 67 64.3624 0.5687 323.959686 -1.057435 6.4669 -14.2467 30.9772 0.039646 40.5187 40.3606 0.1223 0.1149 0.164 1.342 0 0.04 0.002 0.005 0.177 -0.002 0.596 2
15301 15301 1 106 82S 1 0.17851 3E-05 0.17831 3E-05 -60.4157 0 9.915 0.078 29.3148 21.6805 13.0267 54035.375 0.253 -0.327988 0.235 -0.0130349 0.0290994 20.403 0.0437784 0.00012382 4.99258E-06 0.00136392 -3.24173E-07 -9.81731E-08 58 60.6962 0.3789 323.579926 0.589106 8.4625 -12.8958 27.7615 0.053578 39.7353 39.6791 0.1126 0.0893 0.033 0.294 0 -0.031 0.003 0.001 -0.05 0.007 0.637 2
15354 15354 1 120 82N 1 0.22068 0.0005 0.22043 0.0005 -76.4539 0 10.783 0.081 14.0455 11.7408 8.5534 54024.555 0.51 -2.14669 0.3634 0.0875651 0.0494242 21.2557 0.0521921 5.64564E-05 2.7139E-06 0.00101267 -3.32302E-07 -8.34495E-08 48 47.3146 0.5008 6.773676 -0.125976 8.1858 -14.9749 31.6598 0.017372 40.1735 40.193 0.16 0.1687 -0.029 -0.182 0 -0.219 0.017 0.015 -0.263 0.052 0.635 2
15383 15383 1 120 82N 1 0.31494 6E-05 0.31468 6E-05 -79.2607 0 10.786 0.162 10.9077 10.2463 7.0041 54030.484 0.221 0.1452 0.6858 -0.0370182 0.0496835 21.5905 0.0545652 4.14768E-05 2.08447E-06 0.00361213 -8.13744E-07 -3.89091E-08 54 62.3618 0.2033 34.149532 -0.155162 7.6014 -14.4845 26.4787 0.028036 41.1775 41.0754 0.1541 0.2083 0.067 0.438 0 -0.07 0.005 -0.018 -0.221 0.005 0.429 2
15421 15421 1 120 82S 1 0.18443 1E-05 0.1846 1E-05 50.1917 0 10.166 0.07 32.8788 22.5892 14.4319 54035.141 0.236 0.1925 0.264 -0.0384764 0.0253759 20.3828 0.0334053 0.000126148 3.88125E-06 0.000912956 -3.33662E-07 -6.65256E-08 59 44.7611 0.9149 33.7416 0.602507 5.9313 -12.4689 27.9859 0.026316 39.9103 39.7626 0.1096 0.0862 0.13 1.184 0 0.003 0.002 -0.005 -0.037 -0.004 0.621 2
15440 15440 1 120 82S 1 0.26129 4E-05 0.2611 4E-05 -58.5569 0 10.852 0.12 13.3467 12.5729 9.2774 54031.141 0.427 -0.545379 0.537 0.0631282 0.0442968 21.3223 0.0488304 5.30997E-05 2.38813E-06 0.00546747 -6.48363E-07 -6.48044E-08 47 41.4776 0.6999 39.720669 0.090127 6.3441 -14.8729 29.4674 0.02451 40.5676 40.6096 0.1422 0.1564 -0.039 -0.272 0 -0.206 0.008 0.003 -0.217 0.047 0.556 2
