,#Data,Survey,$\mathcal{L}$ asym (this),Free param ,$\mathcal{L}$ Base SNf,Free param,$\mathcal{L}$ asym Sco
0,82,SDSS,210.5,3,217.3,0,213.3
1,122,PS1,303.8,3,309.9,0,305.0
2,78,SNLS,196.4,3,215.6,0,200.3
3,114,SNf,299.3,3,268.6,5,--
4,396,Total,1010.0,12,1011.4,5,--
5,282,Total-SNf,710.7,9,742.8,0,718.6
